Number,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls,Height,Weight,Team,Team_Status
22,Takehiro Tomiyasu,DF,1.nl Ajax,"Fukuoka, Japan",11/5/1998,27-218,3,184,0,185,83,Japan,advanced
16,Tsuyoshi Watanabe,DF,1.nl Feyenoord,"Saitama-shi, Japan",2/5/1997,29-126,2,90,0,184,76,Japan,advanced
18,Nathaniel Brown,DF,1.de Frankfurt,"Amberg, Germany",6/16/2003,22,3,282,1,176,67,Germany,advanced
7,Kai Havertz,FW,1.eng Arsenal,"Aachen, Germany",6/11/1999,27,4,353,3,186,83,Germany,advanced
10,Jamal Musiala,MF,1.de Bayern Munich,"Stuttgart, Germany",2/26/2003,23,4,270,1,184,74,Germany,advanced
23,Felix Nmecha,MF,1.de Dortmund,"England, United Kingdom",10/10/2000,25,4,270,1,185,73,Germany,advanced
19,Leroy SanÃ©,MF,1.tr Galatasaray,"Essen, Germany",1/11/1996,30,4,326,1,184,79,Germany,advanced
15,Nico Schlotterbeck,DF,1.de Dortmund,"Waiblingen, Germany",12/1/1999,26,2,135,1,191,86,Germany,advanced
26,Deniz Undav,FW,1.de Stuttgart,"Achim, Germany",7/19/1996,29,4,151,3,178,86,Germany,advanced
20,Nadiem Amiri,MF,1.de Mainz 05,"Kreisfreie Stadt Ludwigshafen am Rhein, Germany",10/27/1996,29-227,2,42,0,178,74,Germany,advanced
3,Waldemar Anton,"DF,MF",1.de Dortmund,"Olmaliq, Uzbekistan",7/20/1996,29-326,2,50,0,182,86,Germany,advanced
14,Maximilian Beier,"FW,MF",1.de Dortmund,"Kreisfreie Stadt Brandenburg an der Havel, Germany",10/17/2002,23-237,1,27,0,183,72,Germany,advanced
13,Pascal GroÃŸ,"DF,MF",1.eng Brighton,"Mannheim, Germany",6/15/1991,34-361,1,18,0,181,78,Germany,advanced
9,Jamie Leweling,"FW,MF",1.de Stuttgart,"NÃ¼rnberg, Germany",2/26/2001,25-105,1,31,0,184,86,Germany,advanced
1,Manuel Neuer,GK,1.de Bayern Munich,"Gelsenkirchen, Germany",3/27/1986,40-076,4,390,0,193,92,Germany,advanced
5,Aleksandar Pavlovic,MF,1.de Bayern Munich,"MÃ¼nchen, Landeshauptstadt, Germany",5/3/2004,22-039,4,272,0,188,78,Germany,advanced
22,David Raum,DF,1.de RB Leipzig,"NÃ¼rnberg, Germany",4/22/1998,28-050,2,108,0,180,74,Germany,advanced
2,Antonio RÃ¼diger,DF,1.es Real Madrid,"Berlin, Germany",3/3/1993,33-100,4,262,0,191,84,Germany,advanced
16,Angelo Stiller,MF,1.de Stuttgart,"MÃ¼nchen, Germany",4/4/2001,25-068,1,45,0,183,77,Germany,advanced
4,Jonathan Tah,DF,1.de Bayern Munich,"Hamburg, Germany",2/11/1996,30-120,4,372,0,193,93,Germany,advanced
24,Malick Thiaw,"DF,MF",1.eng Newcastle,"DÃ¼sseldorf, Germany",8/8/2001,24-307,2,42,0,185,88,Germany,advanced
17,Florian Wirtz,MF,1.eng Liverpool,"Brauweiler, Germany",5/3/2003,23-039,4,361,0,175,71,Germany,advanced
11,Nick Woltemade,"FW,MF",1.eng Newcastle,"Bremen, Germany",2/14/2002,24-117,1,33,0,198,89,Germany,advanced
19,Brian Brobbey,FW,1.eng Sunderland,"Amsterdam, Netherlands",2/1/2002,24,4,223,3,180,78,Netherlands,advanced
11,Cody Gakpo,FW,1.eng Liverpool,"Gemeente Eindhoven, Netherlands",5/7/1999,27,4,368,3,87,76,Netherlands,advanced
6,Jan Paul van Hecke,DF,1.eng Brighton,"Arnemuiden, Netherlands",6/8/2000,26,4,390,1,189,78,Netherlands,advanced
24,Crysencio Summerville,FW,1.eng West Ham,"Rotterdam, Netherlands",10/30/2001,24,4,253,2,174,63,Netherlands,advanced
4,Virgil van Dijk,DF,1.eng Liverpool,"Breda, Netherlands",7/8/1991,34,4,390,1,193,92,Netherlands,advanced
5,Nathan AkÃ©,DF,1.eng Manchester City,"The Hague, Netherlands",2/18/1995,31-113,3,170,0,180,74,Netherlands,advanced
22,Denzel Dumfries,"DF,MF",1.it Inter,"Rotterdam, Netherlands",4/18/1996,30-054,4,390,0,188,79,Netherlands,advanced
8,Ryan Gravenberch,MF,1.eng Liverpool,"Amsterdam, Netherlands",5/16/2002,24-026,4,345,0,190,83,Netherlands,advanced
25,Jorrel Hato,DF,1.eng Chelsea,"Rotterdam, Netherlands",3/7/2006,20-096,1,35,0,182,77,Netherlands,advanced
21,Frenkie de Jong,MF,1.es Barcelona,"Arkel, Netherlands",5/12/1997,29-030,4,328,0,180,73,Netherlands,advanced
7,Justin Kluivert,"FW,MF",1.eng Bournemouth,"Amsterdam, Netherlands",5/5/1999,27-037,2,27,0,171,67,Netherlands,advanced
20,Teun Koopmeiners,"DF,MF",1.it Juventus,"Gemeente Castricum, Netherlands",2/28/1998,28-103,4,122,0,186,77,Netherlands,advanced
17,Noa Lang,"FW,MF",1.tr Galatasaray,"Capelle aan den IJssel, Netherlands",6/17/1999,26-359,2,8,0,179,69,Netherlands,advanced
18,Donyell Malen,FW,1.it Roma,"Wieringen, Netherlands",1/9/1999,27-153,3,185,0,179,68,Netherlands,advanced
10,Memphis,"FW,MF",1.br Corinthians,"Moordrecht, Netherlands",2/13/1994,32-118,3,54,0,176,78,Netherlands,advanced
14,Tijjani Reijnders,MF,1.eng Manchester City,"Zwolle, Netherlands",7/29/1998,27-317,3,199,0,185,78,Netherlands,advanced
3,Marten de Roon,"DF,MF",1.it Atalanta,"Zwijndrecht, Netherlands",3/29/1991,35-074,1,11,0,185,76,Netherlands,advanced
16,Guus Til,"FW,MF",1.nl PSV,"Amsterdam, Netherlands",12/22/1997,28-171,1,32,0,178,78,Netherlands,advanced
26,Quinten Timber,MF,1.fr Marseille,"Utrecht, Netherlands",6/17/2001,24-359,2,55,0,179,73,Netherlands,advanced
15,Micky van de Ven,"DF,MF",1.eng Tottenham,"Wormer, Netherlands",4/19/2001,25-053,3,265,0,193,81,Netherlands,advanced
1,Bart Verbruggen,GK,1.eng Brighton,"Breda, Netherlands",8/18/2002,23-297,4,390,0,193,88,Netherlands,advanced
9,Wout Weghorst,FW,1.nl Ajax,"Gemeente Borne, Netherlands",8/7/1992,33-308,1,50,0,197,83,Netherlands,advanced
15,Amad Diallo,"MF,FW",1.eng Manchester Utd,"Abidjan, CÃ´te d'Ivoire",7/11/2002,23,4,185,2,173,69,Côte d'Ivoire,advanced
8,Franck KessiÃ©,MF,1.sa Al-Ahli,"Ouragahio, CÃ´te d'Ivoire",12/19/1996,29,4,346,1,183,76,Côte d'Ivoire,advanced
19,Nicolas PÃ©pÃ©,FW,1.es Villarreal,"Mantes-la-Jolie, France",5/29/1995,31,4,234,2,178,73,Côte d'Ivoire,advanced
10,Simon Adingra,"FW,MF",1.fr Monaco,"Abidjan, CÃ´te d'Ivoire",1/1/2002,24-161,1,16,0,175,68,Côte d'Ivoire,advanced
20,Emmanuel Agbadou,DF,1.tr BeÅŸiktaÅŸ,"Abidjan, CÃ´te d'Ivoire",6/17/1997,28-359,3,270,0,192,86,Côte d'Ivoire,advanced
9,Ange-Yoan Bonny,FW,1.it Inter,"Aubervilliers, France",10/25/2003,22-229,4,234,0,189,83,Côte d'Ivoire,advanced
14,Oumar DiakitÃ©,FW,1.be Cercle Brugge,"Bingerville, CÃ´te d'Ivoire",12/20/2003,22-173,2,28,0,178,76,Côte d'Ivoire,advanced
2,Ousmane Diomande,DF,1.pt Sporting CP,"Abidjan, CÃ´te d'Ivoire",12/4/2003,22-189,1,90,0,190,92,Côte d'Ivoire,advanced
11,Yan DiomandÃ©,"MF,FW",1.de RB Leipzig,"Abidjan, CÃ´te d'Ivoire",11/14/2006,19-209,4,329,0,181,76,Côte d'Ivoire,advanced
17,GuÃ©la DouÃ©,DF,1.fr Strasbourg,"Angers, France",10/17/2002,23-237,4,277,0,183,83,Côte d'Ivoire,advanced
6,Seko Fofana,MF,1.pt Porto,"Paris, France",5/7/1995,31-035,2,92,0,183,73,Côte d'Ivoire,advanced
1,Yahia Fofana,GK,1.tr Rizespor,"Paris, France",8/21/2000,25-294,4,360,0,194,88,Côte d'Ivoire,advanced
22,Evann Guessand,"FW,MF",1.eng Crystal Palace,"Ajaccio, France",7/1/2001,24-345,2,17,0,185,78,Côte d'Ivoire,advanced
26,Christ Inao OulaÃ¯,MF,1.tr Trabzonspor,"Yopougon, CÃ´te d'Ivoire",4/6/2006,20-066,4,208,0,173,63,Côte d'Ivoire,advanced
3,Ghislain Konan,DF,1.pt Gil Vicente FC,"Abidjan, CÃ´te d'Ivoire",12/27/1995,30-166,3,269,0,176,71,Côte d'Ivoire,advanced
7,Odilon Kossounou,DF,1.it Atalanta,"Abidjan, CÃ´te d'Ivoire",1/4/2001,25-158,4,272,0,188,78,Côte d'Ivoire,advanced
13,Christopher OpÃ©ri,DF,1.tr BaÅŸakÅŸehir,"Abidjan, CÃ´te d'Ivoire",4/29/1997,29-043,1,90,0,182,73,Côte d'Ivoire,advanced
18,Ibrahim SangarÃ©,MF,1.eng Nottingham,"Koumassi, CÃ´te d'Ivoire",12/2/1997,28-191,4,268,0,191,77,Côte d'Ivoire,advanced
4,Jean Seri,MF,1.si NK Maribor,"Grand BÃ©rÃ©by, CÃ´te d'Ivoire",7/19/1991,34-327,1,14,0,168,73,Côte d'Ivoire,advanced
5,Wilfried Singo,DF,1.tr Galatasaray,"Ouragahio, CÃ´te d'Ivoire",12/25/2000,25-168,2,171,0,190,78,Côte d'Ivoire,advanced
24,Bazoumana TourÃ©,MF,1.de Hoffenheim,"BouakÃ©, CÃ´te d'Ivoire",3/2/2006,20-101,3,80,0,173,68,Côte d'Ivoire,advanced
12,Elye Wahi,FW,1.fr Nice,"Courcouronnes, France",1/2/2003,23-160,3,110,0,178,73,Côte d'Ivoire,advanced
18,Yasin Ayari,MF,1.eng Brighton,"Solna Kommun, Sweden",10/6/2003,22,4,339,2,172,68,Sweden,advanced
11,Anthony Elanga,"MF,FW",1.eng Newcastle,"MalmÃ¶, Sweden",4/27/2002,24,4,217,2,178,69,Sweden,advanced
17,Viktor GyÃ¶keres,FW,1.eng Arsenal,"BromÃ¶lla, Sweden",6/4/1998,28,4,360,1,187,89,Sweden,advanced
9,Alexander Isak,FW,1.eng Liverpool,"Solna, Sweden",9/21/1999,26,4,357,1,190,73,Sweden,advanced
19,Mattias Svanberg,MF,1.de Wolfsburg,"NY, United States",1/5/1999,27,2,16,1,185,74,Sweden,advanced
26,Taha Ali,"FW,MF",1.se MalmÃ¶,"Tensta, Sweden",7/1/1998,27-345,2,37,0,174,63,Sweden,advanced
7,Lucas Bergvall,MF,1.eng Tottenham,"Stockholm, Sweden",2/2/2006,20-129,4,181,0,187,73,Sweden,advanced
21,Alexander Bernhardsson,MF,2.de Holstein Kiel,"GÃ¶teborg, Sweden",9/8/1998,27-276,3,217,0,185,69,Sweden,advanced
5,Gabriel Gudmundsson,"MF,DF",1.eng Leeds United,"MalmÃ¶, Sweden",4/29/1999,27-043,4,330,0,181,73,Sweden,advanced
4,Isak Hien,DF,1.it Atalanta,"Stockholm, Sweden",1/13/1999,27-149,3,216,0,191,84,Sweden,advanced
16,Jesper KarlstrÃ¶m,MF,1.it Udinese,"Stockholm, Sweden",6/21/1995,30-355,2,138,0,179,81,Sweden,advanced
2,Gustaf Lagerbielke,DF,1.pt Braga,"Stockholm, Sweden",4/10/2000,26-062,4,360,0,191,79,Sweden,advanced
3,Victor LindelÃ¶f,"DF,MF",1.eng Aston Villa,"VÃ¤sterÃ¥s, Sweden",7/17/1994,31-329,4,356,0,187,79,Sweden,advanced
25,Gustaf Nilsson,FW,1.be Club Brugge,"Falkenberg, Sweden",5/23/1997,29-019,1,2,0,197,87,Sweden,advanced
23,Kristoffer Nordfeldt,GK,1.se AIK Stockholm,"Stockholm, Sweden",6/23/1989,36-353,2,180,0,190,84,Sweden,advanced
10,Benjamin Nygren,MF,1.sct Celtic,"GÃ¶teborg, Sweden",7/8/2001,24-338,4,130,0,186,76,Sweden,advanced
13,Ken Sema,"FW,MF",1.cy Pafos FC,"NorrkÃ¶ping, Sweden",9/30/1993,32-254,1,16,0,177,68,Sweden,advanced
15,Carl Starfelt,DF,1.es Celta Vigo,"Stockholm, Sweden",6/1/1995,31-010,1,4,0,185,83,Sweden,advanced
24,Elliot Stroud,MF,1.se MjÃ¤llby,"Uddevalla, Sweden",6/22/2002,23-354,4,166,0,180,74,Sweden,advanced
8,Daniel Svensson,DF,1.de Dortmund,"Stockholm, Sweden",2/12/2002,24-119,3,98,0,183,72,Sweden,advanced
1,Jacob Widell ZetterstrÃ¶m,GK,2.eng Derby County,"Stockholm, Sweden",7/11/1998,27-335,2,180,0,195,84,Sweden,advanced
22,Besfort Zeneli,MF,1.be Union SG,"SÃ¤ter, Sweden",11/21/2002,23-202,2,60,0,187,71,Sweden,advanced
5,Jordy Alcivar,MF,1.ec Independiente,"Manta, Ecuador",8/5/1999,26-310,1,45,0,168,71,Ecuador,advanced
16,Jordy Caicedo,FW,1.ar HuracÃ¡n,"Machala, Ecuador",11/18/1997,28-205,3,20,0,187,82,Ecuador,advanced
23,MoisÃ©s Caicedo,MF,1.eng Chelsea,"Santo Domingo de los Colorados, Ecuador",11/2/2001,24-221,4,360,0,178,73,Ecuador,advanced
7,Pervis EstupiÃ±Ã¡n,MF,1.it Milan,"Esmeraldas, Ecuador",1/21/1998,28-141,2,89,0,175,73,Ecuador,advanced
21,Alan Franco,DF,1.br AtlÃ©tico Mineiro,"Alfredo Baquerizo Moreno, Ecuador",8/21/1998,27-294,4,251,0,183,76,Ecuador,advanced
1,HernÃ¡n GalÃ­ndez,GK,1.ar HuracÃ¡n,"Rosario, Argentina",3/30/1987,39-073,4,360,0,189,83,Ecuador,advanced
3,Piero HincapiÃ©,DF,1.eng Arsenal,"Esmeraldas, Ecuador",1/9/2002,24-153,4,339,0,182,77,Ecuador,advanced
26,Yaimar Medina,"DF,MF",1.be Genk,"CantÃ³n Eloy Alfaro, Ecuador",11/5/2004,21-218,1,45,0,175,78,Ecuador,advanced
14,Alan Minda,MF,1.br AtlÃ©tico Mineiro,"Esmeraldas, Ecuador",5/14/2003,23-028,1,55,0,171,68,Ecuador,advanced
4,Joel OrdÃ³Ã±ez,DF,1.be Club Brugge,"Guayaquil, Ecuador",4/21/2004,22-051,3,225,0,188,79,Ecuador,advanced
6,Willian Pacho,DF,1.fr PSG,"Quininde, Ecuador",10/16/2001,24-238,4,360,0,186,81,Ecuador,advanced
10,Kendry PÃ¡ez,MF,1.ar River Plate,"Guayaquil, Ecuador",5/4/2007,19-038,1,12,0,177,71,Ecuador,advanced
25,Jackson Porozo,DF,1.mx Tijuana,"San Lorenzo, Ecuador",8/4/2000,25-311,1,29,0,192,83,Ecuador,advanced
17,Ãngelo Preciado,"DF,MF",1.br AtlÃ©tico Mineiro,"Shushufindi, Ecuador",2/18/1998,28-113,4,109,0,173,73,Ecuador,advanced
11,Kevin RodrÃ­guez,FW,1.be Union SG,"Ibarra, Ecuador",3/4/2000,26-099,4,118,0,190,83,Ecuador,advanced
2,FÃ©lix Torres Caicedo,DF,1.br Internacional,"San Lorenzo, Ecuador",1/11/1997,29-151,1,6,0,187,78,Ecuador,advanced
13,Enner Valencia,FW,1.mx Pachuca,"San Lorenzo, Ecuador",11/4/1989,36-219,4,287,0,174,73,Ecuador,advanced
15,Pedro Vite,MF,1.mx UNAM,"Babahoyo, Ecuador",3/9/2002,24-094,4,360,0,170,68,Ecuador,advanced
9,John Yeboah,MF,2.it Venezia,"Hamburg, Germany",6/23/2000,25-353,4,311,0,170,66,Ecuador,advanced
20,Nilson Angulo,MF,1.eng Sunderland,"Quininde, Ecuador",6/19/2003,22,4,218,1,182,64,Ecuador,advanced
19,Gonzalo Plata,FW,1.br Flamengo,"Guayaquil, Ecuador",11/1/2000,25,4,360,1,178,76,Ecuador,advanced
9,Brian Cipenga,"MF,FW",2.es CastellÃ³n,"Kinshasa, Congo DR",3/11/1998,28,2,146,1,173,67,Congo DR,advanced
19,Fiston Mayele,FW,1.eg Pyramids FC,"Mbuji-Mayi City, Congo DR",6/24/1994,31,2,42,1,180,82,Congo DR,advanced
20,Yoane Wissa,FW,1.eng Newcastle,"Ã‰pinay-sous-SÃ©nart, France",9/3/1996,29,4,360,3,180,73,Congo DR,advanced
17,CÃ©dric Bakambu,FW,1.es Real Betis,"Ivry-sur-Seine, France",4/11/1991,35-061,3,190,0,182,73,Congo DR,advanced
23,Simon Banza,"FW,MF",1.ae Al Jazira Club,"Creil, France",8/13/1996,29-302,2,40,0,189,77,Congo DR,advanced
10,Theo Bongonda,"FW,MF",1.ru Spartak Moscow,"Charleroi, Belgium",11/20/1995,30-203,2,34,0,177,73,Congo DR,advanced
13,Meschak Elia,"FW,MF",1.tr Alanyaspor,"Kinshasa, Congo DR",8/6/1997,28-309,2,46,0,173,67,Congo DR,advanced
24,GÃ©dÃ©on Kalulu,DF,1.cy Aris Limassol,"Lyon, France",8/29/1997,28-286,1,6,0,176,73,Congo DR,advanced
3,Steve Kapuadi,DF,1.pl Widzew ÅÃ³dÅº,"Le Mans, France",4/30/1998,28-042,2,180,0,193,87,Congo DR,advanced
25,Edo Kayembe,MF,2.eng Watford,"Kananga, Congo DR",6/3/1998,28-008,3,160,0,183,77,Congo DR,advanced
12,Joris Kayembe,"DF,FW",1.be Genk,"Brussels, Belgium",8/8/1994,31-307,4,45,0,180,73,Congo DR,advanced
26,Arthur Masuaku,DF,1.fr Lens,"Lille, France",11/7/1993,32-216,4,315,0,179,69,Congo DR,advanced
22,Chancel Mbemba,DF,1.fr Lille,"Kinshasa, Congo DR",8/8/1994,31-307,4,360,0,182,79,Congo DR,advanced
7,NathanaÃ«l Mbuku,"MF,FW",2.fr Montpellier,"Villeneuve-Saint-Georges, France",3/16/2002,24-087,3,143,0,170,68,Congo DR,advanced
8,Samuel Moutoussamy,MF,1.gr Atromitos,"Paris, France",8/12/1996,29-303,4,330,0,174,72,Congo DR,advanced
1,Lionel Mpasi,GK,1.fr Le Havre,"Meaux, France",8/1/1994,31-314,4,360,0,182,78,Congo DR,advanced
6,Ngal'Ayel Mukau,MF,1.fr Lille,"Antwerpen, Belgium",11/3/2004,21-220,4,195,0,185,78,Congo DR,advanced
18,Charles Pickel,"DF,MF",1.es Espanyol,"Solothurn, Switzerland",5/15/1997,29-027,2,35,0,184,76,Congo DR,advanced
14,Noah Sadiki,MF,1.eng Sunderland,"Brussels, Belgium",12/17/2004,21-176,4,259,0,183,73,Congo DR,advanced
4,Axel Tuanzebe,DF,1.eng Burnley,"Bunia, Congo DR",11/14/1997,28-209,4,360,0,190,82,Congo DR,advanced
2,Aaron Wan-Bissaka,DF,1.eng West Ham,"Croydon, England, United Kingdom",11/26/1997,28-197,4,354,0,182,73,Congo DR,advanced
21,Habib Diarra,MF,1.eng Sunderland,"GuÃ©diawaye, Senegal",1/3/2004,22,3,143,2,179,73,Senegal,advanced
26,Pape Gueye,MF,1.es Villarreal,"Montreuil, France",1/24/1999,27,4,234,2,187,78,Senegal,advanced
20,Ibrahim Mbaye,MF,1.fr PSG,"France, France",1/24/2008,18,4,157,1,175,64,Senegal,advanced
13,Iliman Ndiaye,FW,1.eng Everton,"Rouen, France",3/6/2000,26,3,114,1,180,74,Senegal,advanced
18,Ismaila Sarr,"MF,FW",1.eng Crystal Palace,"Saint-Louis, Senegal",2/25/1998,28,4,364,4,180,76,Senegal,advanced
8,Lamine Camara,MF,1.fr Monaco,"Bignona, Senegal",1/1/2004,22-161,4,248,0,173,64,Senegal,advanced
6,PathÃ© Ciss,DF,1.es Rayo Vallecano,"Dakar, Senegal",3/16/1994,32-087,4,184,0,178,71,Senegal,advanced
7,Assane Diao,MF,1.it Como,"Ndagam, Senegal",9/7/2005,20-277,1,10,0,185,78,Senegal,advanced
15,KrÃ©pin Diatta,DF,1.fr Monaco,"Dakar, Senegal",2/25/1999,27-106,4,390,0,175,68,Senegal,advanced
23,Mory Diaw,GK,1.fr Le Havre,"Poissy, France",6/22/1993,32-354,3,238,0,195,87,Senegal,advanced
9,Bamba Dieng,FW,1.fr Lorient,"Pikine, Senegal",3/23/2000,26-080,1,8,0,178,78,Senegal,advanced
25,El Hadji Malick Diouf,DF,1.eng West Ham,"Dakar, Senegal",12/28/2004,21-165,3,171,0,183,73,Senegal,advanced
5,Idrissa Gueye,MF,1.eng Everton,"Dakar, Senegal",9/26/1989,36-258,4,361,0,174,66,Senegal,advanced
11,Nicolas Jackson,FW,1.de Bayern Munich,"Banjul, Gambia",6/20/2001,24-356,4,234,0,186,82,Senegal,advanced
14,Ismail Jakobs,DF,1.tr Galatasaray,"KÃ¶ln, Germany",8/17/1999,26-298,3,219,0,183,73,Senegal,advanced
3,Kalidou Koulibaly,DF,1.sa Al-Hilal,"Saint-DiÃ©-des-Vosges, France",6/20/1991,34-356,2,161,0,195,88,Senegal,advanced
10,Sadio ManÃ©,"MF,FW",1.sa Al-Nassr,"SÃ©dhiou, Senegal",4/10/1992,34-062,4,362,0,175,68,Senegal,advanced
17,Pape Matar Sarr,MF,1.eng Tottenham,"Thiaroye, Senegal",9/14/2002,23-270,2,67,0,189,69,Senegal,advanced
16,Ã‰douard Mendy,GK,1.sa Al-Ahli,"Montivilliers, France",3/1/1992,34-102,2,152,0,197,97,Senegal,advanced
19,Moussa NiakhatÃ©,DF,1.fr Lyon,"Roubaix, France",3/8/1996,30-095,4,390,0,190,82,Senegal,advanced
22,Bara Sapoko Ndiaye,MF,1.de Bayern Munich,"MÃ©khÃ©, Senegal",12/31/2007,18-162,1,26,0,180,69,Senegal,advanced
4,Abdoulaye Seck,DF,1.il Maccabi Haifa,"Dakar, Senegal",6/4/1992,34-007,1,57,0,189,92,Senegal,advanced
19,Kerim Alajbegović,MF,1.at RB Salzburg,"Köln, Germany",9/21/2007,18,4,277,1,186,74,Bosnia and Herzegovina,advanced
25,Jovo Lukić,FW,1.ro Univ. Cluj,"Banja Luka, Bosnia and Herzegovina",11/28/1998,27,2,67,1,193,82,Bosnia and Herzegovina,advanced
26,Ermin Mahmić,MF,1.cz Slovan Liberec,"Wels Stadt, Austria",3/14/2005,21,3,68,2,182,78,Bosnia and Herzegovina,advanced
20,Esmir Bajraktarevic,MF,1.nl PSV,"Appleton, WI, United States",3/10/2005,21-093,4,230,0,175,63,Bosnia and Herzegovina,advanced
13,Ivan BaÅ¡iÄ‡,MF,1.kz FC Astana,"Imotski, Croatia",4/30/2002,24-042,3,179,0,178,74,Bosnia and Herzegovina,advanced
9,Samed BaÅ¾dar,FW,1.de Gladbach,"Novi Pazar, Serbia",1/31/2004,22-131,1,29,0,189,74,Bosnia and Herzegovina,advanced
17,DÅ¾enis BurniÄ‡,MF,2.de Karlsruher,"Hamm, Germany",5/22/1998,28-020,2,16,0,185,78,Bosnia and Herzegovina,advanced
7,Amar DediÄ‡,DF,1.pt Benfica,"Zell am See, Austria",8/18/2002,23-297,3,270,0,180,73,Bosnia and Herzegovina,advanced
10,Ermedin DemiroviÄ‡,FW,1.de Stuttgart,"Hamburg, Germany",3/25/1998,28-078,4,354,0,185,83,Bosnia and Herzegovina,advanced
11,Edin DÅ¾eko,FW,2.de Schalke 04,"Sarajevo, Bosnia and Herzegovina",3/17/1986,40-086,3,176,0,193,79,Bosnia and Herzegovina,advanced
8,Armin Gigovic,MF,1.ch Young Boys,"Lund, Sweden",4/6/2002,24-066,2,79,0,187,78,Bosnia and Herzegovina,advanced
16,Amir HadÅ¾iahmetoviÄ‡,MF,2.eng Hull City,"NexÃ¸, Denmark",3/8/1997,29-095,1,6,0,179,71,Bosnia and Herzegovina,advanced
3,Dennis HadÅ¾ikaduniÄ‡,DF,2.it Sampdoria,"MalmÃ¶, Sweden",7/9/1998,27-337,1,27,0,185,81,Bosnia and Herzegovina,advanced
18,Nikola KatiÄ‡,DF,2.de Schalke 04,"LjubuÅ¡ki, Bosnia and Herzegovina",10/10/1996,29-244,4,317,0,194,89,Bosnia and Herzegovina,advanced
5,Sead KolaÅ¡inac,DF,1.it Atalanta,"Karlsruhe, Germany",6/20/1993,32-356,4,337,0,183,82,Bosnia and Herzegovina,advanced
176,Amar MemiÄ‡,MF,1.cz Viktoria PlzeÅˆ,"Sarajevo, Bosnia and Herzegovina",1/20/2001,25-142,4,224,0,176,72,Bosnia and Herzegovina,advanced
4,Tarik Muharemovic,DF,1.it Sassuolo,"Slovenia, Slovenia",2/28/2003,23-103,3,259,0,192,78,Bosnia and Herzegovina,advanced
21,Stjepan RadeljiÄ‡,DF,1.hr Rijeka,"Nova Bila, Bosnia and Herzegovina",9/5/1997,28-279,2,180,0,201,87,Bosnia and Herzegovina,advanced
14,Ivan Å unjiÄ‡,MF,1.cy Pafos FC,"Zenica, Bosnia and Herzegovina",10/9/1996,29-245,4,196,0,185,73,Bosnia and Herzegovina,advanced
23,Haris TabakoviÄ‡,FW,2.de Schalke 04,"Grenchen, Switzerland",6/20/1994,31-356,1,16,0,194,88,Bosnia and Herzegovina,advanced
6,Benjamin Tahirovic,MF,1.dk BrÃ¸ndby,"SpÃ¥nga, Sweden",3/3/2003,23-100,4,237,0,183,77,Bosnia and Herzegovina,advanced
1,Nikola Vasilj,GK,1.de St Pauli,"Mostar, Bosnia and Herzegovina",12/2/1995,30-191,4,360,0,193,86,Bosnia and Herzegovina,advanced
7,Marko ArnautoviÄ‡,FW,1.rs Red Star,"Wien, Austria",4/19/1989,37,4,144,2,192,83,Austria,advanced
14,Saša Kalajdžić,FW,1.at LASK,"Wien, Austria",7/7/1997,28,3,77,1,200,89,Austria,advanced
9,Marcel Sabitzer,MF,1.de Dortmund,"Graz, Austria",3/17/1994,31,4,360,1,176,76,Austria,advanced
18,Romano Schmid,"MF,FW",1.de Werder Bremen,"Graz, Austria",1/27/2000,26,4,263,1,174,68,Austria,advanced
8,David Alaba,DF,1.es Real Madrid,"Wien, Austria",6/24/1992,33-352,4,275,0,180,74,Austria,advanced
17,Carney Chukwuemeka,MF,1.de Dortmund,"Eisenstadt, Austria",10/20/2003,22-234,3,83,0,182,77,Austria,advanced
3,Kevin Danso,DF,1.eng Tottenham,"Voitsberg, Austria",9/19/1998,27-265,4,241,0,190,84,Austria,advanced
23,Marco Friedl,DF,1.de Werder Bremen,"Kirchbichl, Austria",3/16/1998,28-087,1,24,0,186,82,Austria,advanced
11,Michael Gregoritsch,FW,1.de Augsburg,"Graz, Austria",4/18/1994,32-054,3,188,0,193,91,Austria,advanced
10,Florian Grillitsch,"DF,MF",1.pt Braga,"Neunkirchen, Austria",8/7/1995,30-308,2,90,0,186,77,Austria,advanced
20,Konrad Laimer,"MF,DF",1.de Bayern Munich,"Salzburg, Austria",5/27/1997,29-015,4,360,0,179,72,Austria,advanced
15,Philipp Lienhart,DF,1.de Freiburg,"Lilienfeld, Austria",7/11/1996,29-335,2,180,0,185,83,Austria,advanced
16,Phillipp Mwene,DF,1.de Mainz 05,"Wien, Austria",1/29/1994,32-133,2,147,0,179,68,Austria,advanced
5,Stefan Posch,DF,1.de Mainz 05,"Judenburg, Austria",5/14/1997,29-028,4,331,0,187,82,Austria,advanced
22,Alexander Prass,"DF,MF",1.de Hoffenheim,"HellmonsÃ¶dt, Austria",5/26/2001,25-016,2,29,0,180,72,Austria,advanced
1,Alexander Schlager,GK,1.at RB Salzburg,"Salzburg, Austria",2/1/1996,30-130,4,360,0,184,79,Austria,advanced
4,Xaver Schlager,MF,1.de RB Leipzig,"Wien, Austria",9/28/1997,28-256,4,238,0,174,76,Austria,advanced
6,Nicolas Seiwald,MF,1.de RB Leipzig,"Kuchl, Austria",5/4/2001,25-038,4,315,0,179,78,Austria,advanced
